"unique_file","site","trap_location","camera_type","date","time","species","id_certainty_1_3","animal_behaviour_in_view","comments","CamId","DateTime","DateTimeOriginal","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","n_images"
"IMAG0022.AVI",8,"Cage","Scoutguard","25/07/2018","2:41:00","Rattus fuscipes",3,"Explores area","","8_Cage","25/07/2018 2:41:00","2018-07-25 02:41:00",420,7,0.1,0,2
"IMAG0024.AVI",8,"Cage","Scoutguard","25/07/2018","3:11:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 3:11:00","2018-07-25 03:11:00",1800,30,0.5,0,2
"IMAG0026.AVI",8,"Cage","Scoutguard","25/07/2018","3:17:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 3:17:00","2018-07-25 03:17:00",360,6,0.1,0,1
"",8,"3","Reconyx","25/07/2018","4:04:55","Rattus fuscipes",3,"Explores entrance to trap, doesn't appear to enter","","8_3","25/07/2018 4:04:55","2018-07-25 04:04:55",8456,140.9,2.3,0.1,1
"IMAG0027.AVI",8,"Cage","Scoutguard","25/07/2018","4:28:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 4:28:00","2018-07-25 04:28:00",4260,71,1.2,0,1
"IMAG0028.AVI",8,"Cage","Scoutguard","25/07/2018","4:36:00","Rattus fuscipes",3,"Exits trap","","8_Cage","25/07/2018 4:36:00","2018-07-25 04:36:00",480,8,0.1,0,1
"",8,"3","Reconyx","25/07/2018","4:43:10","Rattus fuscipes",2,"Explores entrance to trap, doesn't appear to enter","","8_3","25/07/2018 4:43:10","2018-07-25 04:43:10",2295,38.2,0.6,0,1
"",8,"3","Reconyx","25/07/2018","5:13:50","Rattus fuscipes",3,"Explores trap but does not appear to enter","","8_3","25/07/2018 5:13:50","2018-07-25 05:13:50",1840,30.7,0.5,0,1
"IMAG0030.AVI",8,"Cage","Scoutguard","25/07/2018","5:37:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 5:37:00","2018-07-25 05:37:00",3660,61,1,0,1
"IMAG0031.AVI",8,"Cage","Scoutguard","25/07/2018","5:48:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","25/07/2018 5:48:00","2018-07-25 05:48:00",660,11,0.2,0,1
"",8,"3","Reconyx","25/07/2018","18:58:28","Rattus fuscipes",3,"Explores trap area for several minutes, and then may enter","","8_3","25/07/2018 18:58:28","2018-07-25 18:58:28",49478,824.6,13.7,0.6,1
"",8,"9","Reconyx","25/07/2018","21:27:00","Rattus fuscipes",3,"Standing on top of trap","","8_9","25/07/2018 21:27:00","2018-07-25 21:27:00",0,0,0,0,1
"",8,"9","Reconyx","25/07/2018","22:49:00","Rattus fuscipes",3,"Exploring trap, didn't enter","","8_9","25/07/2018 22:49:00","2018-07-25 22:49:00",4920,82,1.4,0.1,2
"",8,"9","Reconyx","25/07/2018","22:58:07","Rattus fuscipes",3,"Exploring entrance of trap, didn't enter","","8_9","25/07/2018 22:58:07","2018-07-25 22:58:07",547,9.1,0.2,0,4
"",8,"9","Reconyx","25/07/2018","23:14:28","Rattus fuscipes",3,"Exploring trap, didn't enter","","8_9","25/07/2018 23:14:28","2018-07-25 23:14:28",981,16.4,0.3,0,1
"",8,"9","Reconyx","25/07/2018","23:55:12","Rattus fuscipes",3,"Exploring trap, didn't enter","","8_9","25/07/2018 23:55:12","2018-07-25 23:55:12",2444,40.7,0.7,0,6
"",8,"9","Reconyx","26/07/2018","0:51:49","Rattus fuscipes",3,"Exploring wrong end of trap","","8_9","26/07/2018 0:51:49","2018-07-26 00:51:49",3397,56.6,0.9,0,1
"",8,"9","Reconyx","26/07/2018","2:02:18","Rattus fuscipes",3,"Edge of view","","8_9","26/07/2018 2:02:18","2018-07-26 02:02:18",4229,70.5,1.2,0,1
"IMAG0049.AVI",8,"Cage","Scoutguard","26/07/2018","23:07:00","Rattus fuscipes",3,"Enters trap, but does not trigger mechanism","","8_Cage","26/07/2018 23:07:00","2018-07-26 23:07:00",148740,2479,41.3,1.7,2
"IMAG0051.AVI",8,"Cage","Scoutguard","26/07/2018","23:13:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","26/07/2018 23:13:00","2018-07-26 23:13:00",360,6,0.1,0,1
"",8,"3","Reconyx","27/07/2018","1:44:03","Rattus fuscipes",3,"Exploring area","","8_3","27/07/2018 1:44:03","2018-07-27 01:44:03",110735,1845.6,30.8,1.3,1
"",8,"3","Reconyx","27/07/2018","2:06:52","Rattus fuscipes",3,"Exploring area","","8_3","27/07/2018 2:06:52","2018-07-27 02:06:52",1369,22.8,0.4,0,1
"",8,"3","Reconyx","27/07/2018","2:53:51","Rattus fuscipes",3,"Exploring area","","8_3","27/07/2018 2:53:51","2018-07-27 02:53:51",2819,47,0.8,0,1
"IMAG0052.AVI",8,"Cage","Scoutguard","27/07/2018","3:00:00","Rattus fuscipes",3,"Explores area around the trap","","8_Cage","27/07/2018 3:00:00","2018-07-27 03:00:00",13620,227,3.8,0.2,2
"IMAG0054.AVI",8,"Cage","Scoutguard","27/07/2018","3:10:00","Rattus fuscipes",3,"Explores area around the trap","","8_Cage","27/07/2018 3:10:00","2018-07-27 03:10:00",600,10,0.2,0,1
"IMAG0056.AVI",8,"Cage","Scoutguard","27/07/2018","3:15:00","Rattus fuscipes",3,"Explores area around the trap","","8_Cage","27/07/2018 3:15:00","2018-07-27 03:15:00",300,5,0.1,0,1
"IMAG0057.AVI",8,"Cage","Scoutguard","27/07/2018","4:44:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","27/07/2018 4:44:00","2018-07-27 04:44:00",5340,89,1.5,0.1,3
"IMAG0060.AVI",8,"Cage","Scoutguard","27/07/2018","4:50:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","27/07/2018 4:50:00","2018-07-27 04:50:00",360,6,0.1,0,2
"IMAG0062.AVI",8,"Cage","Scoutguard","27/07/2018","4:56:00","Rattus fuscipes",3,"Explores area around the trap","","8_Cage","27/07/2018 4:56:00","2018-07-27 04:56:00",360,6,0.1,0,1
"IMAG0064.AVI",8,"Cage","Scoutguard","27/07/2018","5:36:00","Rattus fuscipes",3,"Explores area around the trap","","8_Cage","27/07/2018 5:36:00","2018-07-27 05:36:00",2400,40,0.7,0,3
"IMAG0067.AVI",8,"Cage","Scoutguard","27/07/2018","5:43:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","27/07/2018 5:43:00","2018-07-27 05:43:00",420,7,0.1,0,3
"IMA00008.JPG",8,"3","Scoutguard","31/07/2019","20:13:00","Rattus fuscipes",3,"Explores area around trap","","8_3","31/07/2019 20:13:00","2019-07-31 20:13:00",31943949,532399.2,8873.3,369.7,1
"IMAG0011.AVI",8,"Cage","Scoutguard","31/07/2019","21:14:00","Rattus fuscipes",3,"Explores area around trap","","8_Cage","31/07/2019 21:14:00","2019-07-31 21:14:00",31937460,532291,8871.5,369.6,3
"IMAG0017.AVI",8,"Cage","Scoutguard","31/07/2019","21:20:00","Rattus fuscipes",3,"Enters trap, eats, but does not trigger mechanism","","8_Cage","31/07/2019 21:20:00","2019-07-31 21:20:00",360,6,0.1,0,2
"IMAG0016.JPG",8,"9","Scoutguard","31/07/2019","21:48:00","Rattus fuscipes",3,"Explores area around trap","","8_9","31/07/2019 21:48:00","2019-07-31 21:48:00",32039142,533985.7,8899.8,370.8,2
"IMAG0013.AVI",8,"Cage","Scoutguard","25/07/2018","2:05:00","Trichosurus vulpecula",3,"Entered field of view but did not inspect trap","","8_Cage","25/07/2018 2:05:00","2018-07-25 02:05:00",0,0,0,0,2
"IMAG0005.AVI",8,"Cage","Scoutguard","24/07/2018","9:12:00","Unknown bird",1,"Exploring ground around trap","","8_Cage","24/07/2018 9:12:00","2018-07-24 09:12:00",0,0,0,0,1
"IMAG0009.AVI",8,"Cage","Scoutguard","24/07/2018","9:44:00","Unknown bird",1,"Exploring ground around trap","","8_Cage","24/07/2018 9:44:00","2018-07-24 09:44:00",1920,32,0.5,0,1
"IMAG0012.AVI",8,"Cage","Scoutguard","24/07/2018","15:55:00","Unknown bird",3,"Exploring ground around trap","","8_Cage","24/07/2018 15:55:00","2018-07-24 15:55:00",22260,371,6.2,0.3,1
"",8,"9","Reconyx","25/07/2018","14:40:00","Unknown bird",1,"Edge of view","3 birds and 1 bush rat caught","8_9","25/07/2018 14:40:00","2018-07-25 14:40:00",0,0,0,0,1
"IMAG0042.AVI",8,"Cage","Scoutguard","25/07/2018","15:54:00","Unknown bird",1,"Explores area around trap","","8_Cage","25/07/2018 15:54:00","2018-07-25 15:54:00",86340,1439,24,1,1
