project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2004409,S02_T16_2023,S02_T16,151.7388683,-32.24040167,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085474,S02_T16,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S03_T22_2023,S03_T22,151.7404167,-32.24188333,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085488,S03_T22,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S04_T10_2023,S04_T10,151.7458,-32.2441,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085494,S04_T10,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S03_T20_2023,S03_T20,151.7401333,-32.24205,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085487,S03_T20,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S05_T20_2023,S05_T20,151.751165,-32.24647167,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085511,S05_T20,0,Camera Functioning,Knee height,,Parallel,,,,,Site_05,,,,,
2004409,S03_T02_2023,S03_T02,151.7407367,-32.243005,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085478,S03_T02,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S04_T18_2023,S04_T18,151.7459,-32.2443,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085498,S04_T18,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S04_T20_2023,S04_T20,151.7457,-32.2444,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085499,S04_T20,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S01_T24_2023,S01_T24,151.7342633,-32.23801167,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085468,S01_T24,0,Camera Functioning,Knee height,,Parallel,,,,,Site_01,,,,,
2004409,S04_T16_2023,S04_T16,151.746,-32.2443,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085497,S04_T16,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
